,bert_cause_cs_pairs,bert_treat_cs_pairs,roberta_cause_cs_pairs,roberta_treat_cs_pairs,bert_cause_cs_simple,bert_treat_cs_simple,roberta_cause_cs_simple,roberta_treat_cs_simple,term1,term2,relation_candidates,sentence,entity_id_y,is_cause,is_treat,is_food_correct,is_food_partially_correct,is_disease_correct,is_disease_partially_correct,bert_cause_ade_simple,roberta_cause_ade_simple,bert_cause_ade_pairs,roberta_cause_ade_pairs,biobert_cause_cs_simple,biobert_treat_cs_simple,biobert_cause_ade_simple,biobert_cause_cs_pairs,biobert_treat_cs_pairs,biobert_cause_ade_pairs
284,0.3,0.0,0.0,1.0,0,1,0,1,myrciaria cauliflora (jaboticaba),respiratory diseases,"XXX is an edible fruit common in Brazil that has been used for treating YYY , including chronic tonsillitis and","Myrciaria cauliflora (jaboticaba) is an edible fruit common in Brazil that has been used for treating respiratory diseases, including chronic tonsillitis and asthma.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.8,0.0
251,0.0,1.0,0.0,1.0,0,1,0,1,honeybush tea,hyperglycemia,that the sequential extracts of YYY ( particularly the aqueous and ethyl acetate extracts ) may not only exhibit antioxidant potentials but also mediate anti- XXX activities by inhibiting lipid and,These results imply that the sequential extracts of honeybush tea (particularly the aqueous and ethyl acetate extracts) may not only exhibit antioxidant potentials but also mediate anti-hyperglycemia activities by inhibiting lipid and carbohydrate digestion.,DOID:4195,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.3,0.0,0,1,0,0.0,0.0,0.0
399,0.0,0.0,0.0,0.0,0,1,1,1,coffee beans,ad,"a naturally occurring component from XXX that modulates PP2A methylation , was shown to confer therapeutic benefits in rodent models of YYY and Parkinson 's disease .","In addition, eicosanoyl-5-hydroxytryptamide (EHT), a naturally occurring component from coffee beans that modulates PP2A methylation, was shown to confer therapeutic benefits in rodent models of AD and Parkinson's disease.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.9,0,0,0,0.0,0.0,0.0
126,1.0,0.0,0.9,0.0,1,0,1,0,alcohol,hepatitis b,"Risk factors include XXX and C virus , cirrhosis , aflatoxin-contaminated food , YYY , and diabetes .","Risk factors include hepatitis B and C virus, cirrhosis, aflatoxin-contaminated food, alcohol, and diabetes.",DOID:2043,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.2,0.0,0,0,0,1.0,0.0,1.0
295,0.0,0.0,0.0,0.0,0,1,0,1,certain foods,asthma,Consumption of XXX during pregnancy has been shown to have beneficial effects on childhood YYY and allergic disease development and,Consumption of certain foods during pregnancy has been shown to have beneficial effects on childhood asthma and allergic disease development and aggravation.,DOID:2841,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0,1,0,1,0,wheat flour,allergy,Occupational YYY to components of XXX is the main cause of,Occupational allergy to components of wheat flour is the main cause of rhinitis and asthma of workers in bakeries and similar activities.,,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.6,1.0,1,0,0,0.2,0.0,0.4
115,0.0,0.0,0.0,1.0,0,1,0,1,fruit,cognitive decline,"limited epidemiological evidence available on YYY and vegetable consumption and cognition generally supported a protective role of these macronutrients against XXX , dementia , and AD","Finally, the limited epidemiological evidence available on fruit and vegetable consumption and cognition generally supported a protective role of these macronutrients against cognitive decline, dementia, and AD.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,0.2,0.0
117,1.0,0.0,1.0,0.0,1,0,1,0,soybean curd,cognitive impairment,reported an increased risk for XXX and other dementia markers with high tofu ( YYY ) intake .,"Paradoxically, the Honolulu Asia Aging Study reported an increased risk for cognitive impairment and other dementia markers with high tofu (soybean curd) intake.",,1.0,0.0,1.0,1.0,1.0,1.0,1,1,0.6,1.0,0,0,0,0.0,0.0,0.0
126,1.0,0.0,1.0,0.0,1,0,1,0,tobacco,bladder cancer,established environmental risk factors for XXX XXX YYY .,Tobacco smoking and occupational exposure to aromatic amines are the two major established environmental risk factors for bladder cancer.,DOID:11054,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0,0,1,0.5,0.0,1.0
116,0.0,0.0,0.0,0.0,0,1,1,0,salt,dehydration,survival in the setting of XXX or YYY deprivation .,Fructose causes sodium retention and raises blood pressure and likely helped survival in the setting of dehydration or salt deprivation.,,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.3,0,0,1,0.0,0.2,0.0
172,0.0,0.0,0.0,1.0,0,1,0,1,ginger,diabetes,evidence revealed the potential of YYY for reducing XXX -induced oxidative stress markers .,Recent evidence revealed the potential of ginger for reducing diabetes-induced oxidative stress markers.,DOID:9351,0.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,0,1,1,0.0,1.0,0.0
30,0.0,1.0,0.0,1.0,0,1,0,1,artichoke,"cardiovascular, hepatic and gastric diseases","Cynara scolymus L. ( common YYY ) and its products have been considered as potential phytotherapeutic agents for various conditions , such as XXX , among others .","Cynara scolymus L. (common artichoke) and its products have been considered as potential phytotherapeutic agents for various conditions, such as cardiovascular, hepatic and gastric diseases, among others.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,1.0,0,1,0,0.0,1.0,0.0
34,1.0,0.0,1.0,0.0,1,0,1,0,cigarette smoke,heart disease,"XXX ( CS ) causes about 480,000 deaths each year worldwide and is well-known to have harmful effects on the human body , leading to YYY , stroke , lung cancer","Cigarette smoke (CS) causes about 480,000 deaths each year worldwide and is well-known to have harmful effects on the human body, leading to heart disease, stroke, lung cancer, and cardiovascular problems.",DOID:114,1.0,0.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1,0,0,1.0,0.0,1.0
54,1.0,0.0,0.1,0.0,1,0,1,0,chocolate,obesity,with a genetic predisposition to YYY differed in their ability to experience reward from XXX ( in a condition place,We did not find evidence that rat strains with a genetic predisposition to obesity differed in their ability to experience reward from chocolate (in a condition place preference task).,DOID:9970,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1,0,0,0.0,0.0,0.0
357,1.0,0.0,1.0,0.0,1,0,1,0,ice,pagophagia,XXX ( compulsive YYY chewing ) is a particular,"Pagophagia (compulsive ice chewing) is a particular form of pica that is characterized by ingestion of ice, freezer frost, or iced drinks.",,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.4,1,0,0,0.0,0.0,0.0
349,0.0,0.0,0.0,1.0,0,1,0,1,cabbage,allergic,", cauliflower , tea , YYY , nuts , and onions that have traditionally been treated as anticancer and antiviral , and used for the treatment of XXX , metabolic , and inflammatory","Quercetin is the major polyphenolic flavonoid found in food products, including berries, apples, cauliflower, tea, cabbage, nuts, and onions that have traditionally been treated as anticancer and antiviral, and used for the treatment of allergic, metabolic, and inflammatory disorders, eye and cardiovascular diseases, and arthritis.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
243,0.0,0.0,0.0,0.0,0,0,1,0,ultra-processed foods,non-communicable diseases,link between the consumption of YYY and a range of XXX ( NCDs ) such as,"There is a causal link between the consumption of ultra-processed foods and a range of non-communicable diseases (NCDs) such as obesity, type 2 diabetes and cancers.",,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,1.0,0.0,0.0
159,0.0,0.0,0.0,0.1,0,1,0,1,ginseng,cardiovascular disease,"a major active component of YYY , has many benefits for XXX and diabetes mellitus ( DM","Ginsenoside-Rb1 (Rb1), a major active component of ginseng, has many benefits for cardiovascular disease and diabetes mellitus (DM), but the effect and mechanism on diabetic cardiomyopathy are not clear.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
7,0.8,0.0,1.0,0.0,1,0,1,0,persea americana,wilting,"with 'Reed ' avocado ( XXX ) seedlings confirmed that Calonectria ilicicola is a severe pathogen of avocado , causing stunting , YYY , and seedling death within","Glasshouse pathogenicity tests with 'Reed' avocado (Persea americana) seedlings confirmed that Calonectria ilicicola is a severe pathogen of avocado, causing stunting, wilting, and seedling death within 5 weeks of inoculation.",,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.5,1,0,1,0.6,0.0,1.0
203,1.0,0.0,1.0,0.0,1,0,0,0,fruits,allergy,Severe XXX to YYY mediated by a 7 kDa,Severe allergy to fruits mediated by a 7 kDa allergen belonging to the gibberellin-regulated protein (GRP) family is known to be associated with Cupressaceae pollinosis.,,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,0,0,0.0,0.0,0.7
137,1.0,0.3,0.0,1.0,0,1,0,1,coffee,metabolic syndrome,"fruits including mangosteen rind , YYY pulp and spent YYY grounds provide further options to reduce XXX .","Further, waste products from tropical fruits including mangosteen rind, coffee pulp and spent coffee grounds provide further options to reduce metabolic syndrome.",DOID:0014667,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
362,1.0,0.0,1.0,0.0,1,0,1,0,malnutrition,cerebral palsy,Children with XXX exhibit eating problems due to the effect on the anatomical and functional structures involved in the eating function resulting in YYY .,Children with cerebral palsy exhibit eating problems due to the effect on the anatomical and functional structures involved in the eating function resulting in malnutrition.,DOID:1969,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0.0,0.5,1,0,1,1.0,0.0,0.2
427,0.0,0.9,0.0,1.0,0,1,0,1,fruit of alpinia oxyphylla,dementia,The XXX is often used in traditional Chinese medicine to treat YYY and memory defects .,The fruit of Alpinia oxyphylla is often used in traditional Chinese medicine to treat dementia and memory defects.,DOID:1307,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
350,0.4,0.0,0.1,0.0,1,0,1,0,chicken eggshell membrane ( em ),arthritis,in joints commonly affected in XXX YYY .,"It was hypothesized that chicken eggshell membrane (EM) is effective in the regeneration of cartilage and/or immunomodulation (oral tolerance), and as such relieves pain and stiffness in joints commonly affected in arthritis.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,1.0,1,0,0,0.8,0.1,0.0
164,0.1,0.0,1.0,0.0,0,1,0,1,maslinic acid,hyperglycaemia,") , an isomer of YYY , has been reported to ameliorate the intermediate XXX found in prediabetes ; however","Bredemolic acid (BA), an isomer of maslinic acid, has been reported to ameliorate the intermediate hyperglycaemia found in prediabetes; however, the effects of this triterpene on cardiovascular function have not yet been determined.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
221,0.0,0.0,0.0,0.0,0,0,0,0,sugar,caries,"Many diseases , including XXX , chronic inflammatory diseases , diabetes , and obesity , are associated with uncontrolled YYY consumption .","Many diseases, including caries, chronic inflammatory diseases, diabetes, and obesity, are associated with uncontrolled sugar consumption.",,1.0,0.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0,0,0.0,0.0,0.0
69,1.0,0.0,1.0,0.0,1,0,1,0,garlic,asthma,"food industry workers ) and XXX or rhinitis was diagnosed as caused by cereal flour or grain , cow epithelium , storage mites , YYY , or soy dust .","Twenty-three positive bronchial or nasal challenges were performed on 16 patients (six farmers, six bakery workers, and four food industry workers) and asthma or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, garlic, or soy dust.",DOID:2841,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,1.0,1,0,0,1.0,0.0,0.0
29,1.0,0.0,1.0,0.0,1,0,0,0,chicken,pasteurellosis,"serotype 11 antigen generated from YYY could specifically detect P. multocida , indicating that the antiserum for somatic serotyping was useful for immunohistochemical diagnosis of rabbit XXX .","In the immunohistochemical assay, an antiserum recognizing the somatic serotype 11 antigen generated from chicken could specifically detect P. multocida, indicating that the antiserum for somatic serotyping was useful for immunohistochemical diagnosis of rabbit pasteurellosis.",DOID:11055,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.8,0,0,0,0.0,0.0,0.0
202,0.0,0.0,0.3,0.0,0,0,0,0,peanut,intestinal anaphylaxis,necessary for the development of YYY -induced XXX and IL-13 production in allergic,Activation of the steroidogenic enzyme CYP11A1 was shown to be necessary for the development of peanut-induced intestinal anaphylaxis and IL-13 production in allergic mice.,,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0,0,0,0.2,0.0,0.0
385,0.7,0.0,1.0,0.0,1,0,1,0,sugar,ad,"The origin of YYY is multifactorial , and many metabolic disorders originating from overconsumption of fat , cholesterol , and XXX are associated with higher risk","The origin of AD is multifactorial, and many metabolic disorders originating from overconsumption of fat, cholesterol, and sugar are associated with higher risk of AD later in life.",,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,1.0,1,0,0,0.0,0.0,0.0
171,0.0,0.5,0.0,1.0,0,1,0,1,ginger,asthma,"polyphenol that belongs to the YYY family which has long been used in Ayurveda medicines to treat various diseases such as XXX , anorexia , coughing ,","Curcumin, is a polyphenol from Curcuma longa (turmeric plant), is a polyphenol that belongs to the ginger family which has long been used in Ayurveda medicines to treat various diseases such as asthma, anorexia, coughing, hepatic diseases, diabetes, heart diseases, wound healing and Alzheimer's.",DOID:2841,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
293,0.0,0.0,0.6,0.0,0,1,0,1,peanut oil,ad,"skin creams used for treating YYY contain XXX , and it has been","Some bath oils and skin creams used for treating AD contain peanut oil, and it has been suggested that exposure to peanut allergens through a disrupted skin barrier is a potential cause of PA.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.3
281,1.0,0.0,1.0,0.0,1,0,1,0,"butter flavoring additive , diacetyl ( da )",bronchiolitis obliterans,"DA ) , can cause XXX YYY ( BO ) by inhalation","The butter flavoring additive, diacetyl (DA), can cause bronchiolitis obliterans (BO) by inhalation.",DOID:2799,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,0,0,1.0,0.0,1.0
133,1.0,0.0,0.9,0.0,1,0,0,0,fruits,nephrolithiasis,") , a low-sodium and YYY /vegetables-rich diet , has been associated with a lower risk of XXX , due to altered urinary","Dietary Approaches to Stop Hypertension (DASH), a low-sodium and fruits/vegetables-rich diet, has been associated with a lower risk of nephrolithiasis, due to altered urinary biochemistry.",DOID:585,0.0,1.0,1.0,1.0,1.0,1.0,1,1,0.3,1.0,0,0,0,0.0,0.0,0.0
394,1.0,0.0,0.0,0.0,0,0,0,0,unbalanced diets,"impaired cognition, termed 'gut-brain axis'",of high fat and other YYY and XXX .,"Thus, it has recently been hypothesized that the gut microbiota could be part of a mechanistic link between the consumption of high fat and other unbalanced diets and impaired cognition, termed 'gut-brain axis'.",,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.1,0,0,1,0.0,0.0,0.0
187,0.0,1.0,0.0,0.0,0,1,0,1,zingiber officinale,type 2 diabetes mellitus,its wide therapeutic potential in XXX XXX YYY ( T2DM ) and against,Zingiber officinale is being used as diet-based therapy because of its wide therapeutic potential in type 2 diabetes mellitus (T2DM) and against diabetic complications by directly interacting with different molecular and cellular pathways that provoke the pathogenesis of T2DM.,DOID:9352,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,0,1,0,0.0,1.0,0.0
140,0.4,0.0,0.0,0.0,0,0,0,1,sodium,chronic kidney disease,"guidelines recommend that patients with XXX ( CKD ) restrict individual nutrients , such as YYY , potassium , phosphorus ,","Current dietary guidelines recommend that patients with chronic kidney disease (CKD) restrict individual nutrients, such as sodium, potassium, phosphorus, and protein.",DOID:784,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,1.0,0.0
118,0.0,0.0,0.0,0.0,0,0,0,1,fruits,neurodegenerative diseases,"such as those found in YYY and vegetables , may lower the risk of developing age-related XXX such as Parkinson 's disease","Epidemiological studies have shown that consumption of diets rich in antioxidant and anti-inflammatory agents, such as those found in fruits and vegetables, may lower the risk of developing age-related neurodegenerative diseases such as Parkinson's disease and Alzheimer's disease.",DOID:1289,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,1.0,0.0
308,0.0,0.0,0.4,0.0,1,0,1,0,lemon seed,ige-mediated hypersensitivity,We report a case of XXX to YYY .,We report a case of IgE-mediated hypersensitivity to lemon seed.,DOID:1205,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,0,1,0.0,0.0,1.0
179,0.4,0.0,0.0,1.0,0,1,0,1,cinnamon,obesity,"derived from red chili , XXX , cloves , black pepper , and ginger , also exhibit effects against YYY and insulin resistance .","Other structurally homologous nutraceuticals, derived from red chili, cinnamon, cloves, black pepper, and ginger, also exhibit effects against obesity and insulin resistance.",DOID:9970,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.6,0.0
197,1.0,0.0,0.0,0.0,0,0,0,0,olive oil,coronary heart disease,"amount of total fat , YYY , type of meat and wine intake ; milk vs. cheese ; fruits and vegetables ; and the rates of XXX and cancer , with the","Their diets differ in the amount of total fat, olive oil, type of meat and wine intake; milk vs. cheese; fruits and vegetables; and the rates of coronary heart disease and cancer, with the lower death rates and longer life expectancy occurring in Greece.",DOID:3393,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
411,1.0,0.0,0.0,0.0,1,1,1,1,anti-inflammatory drugs,ad,"Thus , XXX in this asymptomatic initial phase could slow down YYY progression , provided they enter","Thus, anti-inflammatory drugs in this asymptomatic initial phase could slow down AD progression, provided they enter the brain.",,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,0,0,0,0.4,0.0,0.1
60,0.0,0.0,1.0,0.0,1,0,1,0,wheat flour,baker's asthma,Sensitization to YYY plays an important role in the development and diagnosis of XXX .,Sensitization to wheat flour plays an important role in the development and diagnosis of baker's asthma.,,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0.1,0.1,0,0,1,0.0,0.0,0.0
262,1.0,0.0,1.0,0.0,1,0,1,0,protein-containing dust,respiratory diseases,Influence of XXX on the workers results in YYY .,Influence of protein-containing dust on the workers results in respiratory diseases.,,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.1,0.9,1,0,1,1.0,0.0,0.0
